 id | user_id | _state |         title         |                      body                       | publication_date | view_count 
----+---------+--------+-----------------------+-------------------------------------------------+------------------+------------
  1 |       1 | 0      | Theoretical physics   | Theoretical physics...                          | 2005-06-10       |       5348
  2 |       3 | 1      | Flower Power          | Garden roses...                                 | 2007-05-10       |        582
  3 |       3 | 1      | Autumn Garden         | Autumn smell...                                 | 2008-05-09       |       2486
  4 |       5 | 1      | Guitar Lesson № 1     | Today I will start...                           | 2014-07-20       |       1328
  5 |       5 | 1      | Guitar Lesson № 2     | Today we will continue...                       | 2014-08-01       |       1526
  6 |       5 | 1      | Guitar Lesson № 3     | Today we will play our first composition...     | 2014-08-15       |       2548
  7 |       6 | 1      | What is kindness?     | What is kindness? It is a very good question... | 2011-03-06       |       3459
  8 |       1 | 0      | Classic chemistry     | Lets talk about chemistry...                    | 2005-08-12       |       5360
  9 |       3 | 1      | Green fence           | Its good idea to...                             | 2007-05-15       |        582
 10 |       3 | 1      | Spring Garden         | First you should...                             | 2008-03-08       |        512
 11 |       5 | 1      | Guitar Lesson № 4     | What do you know about folk music?              | 2014-09-03       |       1372
 12 |       5 | 1      | When guitar is boring | Vivaldi on the battery...                       | 2014-09-15       |        546
 13 |       5 | 1      | About concerts        | How to visit rock concerts?                     | 2014-10-14       |       2548
(13 rows)

 min_num | max_num | count 
---------+---------+-------
       0 |     100 |     0
     100 |     200 |     0
     200 |     300 |     0
     300 |     400 |     0
     400 |     500 |     0
     500 |     600 |     4
     600 |     700 |     0
     700 |     800 |     0
     800 |     900 |     0
     900 |    1000 |     0
    1000 |    1100 |     0
    1100 |    1200 |     0
    1200 |    1300 |     0
    1300 |    1400 |     2
    1400 |    1500 |     0
    1500 |    1600 |     1
    1600 |    1700 |     0
    1700 |    1800 |     0
    1800 |    1900 |     0
    1900 |    2000 |     0
    2000 |    2100 |     0
    2100 |    2200 |     0
    2200 |    2300 |     0
    2300 |    2400 |     0
    2400 |    2500 |     1
    2500 |    2600 |     2
    2600 |    2700 |     0
    2700 |    2800 |     0
    2800 |    2900 |     0
    2900 |    3000 |     0
    3000 |    3100 |     0
    3100 |    3200 |     0
    3200 |    3300 |     0
    3300 |    3400 |     0
    3400 |    3500 |     1
    3500 |    3600 |     0
    3600 |    3700 |     0
    3700 |    3800 |     0
    3800 |    3900 |     0
    3900 |    4000 |     0
    4000 |    4100 |     0
    4100 |    4200 |     0
    4200 |    4300 |     0
    4300 |    4400 |     0
    4400 |    4500 |     0
    4500 |    4600 |     0
    4600 |    4700 |     0
    4700 |    4800 |     0
    4800 |    4900 |     0
    4900 |    5000 |     0
    5000 |    5100 |     0
    5100 |    5200 |     0
    5200 |    5300 |     0
    5300 |    5400 |     2
(54 rows)

