SET
 departure_city  |  arrival_city   | min_price | max_price 
-----------------+-----------------+-----------+-----------
 Абакан          | Архангельск     |           |          
 Абакан          | Грозный         |           |          
 Абакан          | Кызыл           |           |          
 Анапа           | Новокузнецк     |           |          
 Архангельск     | Абакан          |           |          
 Архангельск     | Иркутск         |           |          
 Астрахань       | Нерюнгри        |           |          
 Барнаул         | Красноярск      |           |          
 Барнаул         | Якутск          |           |          
 Белгород        | Ростов-на-Дону  |           |          
 Белоярский      | Курган          |           |          
 Белоярский      | Москва          |           |          
 Белоярский      | Тюмень          |           |          
 Волгоград       | Чебоксары       |           |          
 Воркута         | Санкт-Петербург |           |          
 Воркута         | Сургут          |           |          
 Геленджик       | Ростов-на-Дону  |           |          
 Геленджик       | Элиста          |           |          
 Горно-Алтайск   | Краснодар       |           |          
 Горно-Алтайск   | Новосибирск     |           |          
 Горно-Алтайск   | Ставрополь      |           |          
 Грозный         | Абакан          |           |          
 Екатеринбург    | Иваново         |           |          
 Екатеринбург    | Когалым         |           |          
 Екатеринбург    | Кызыл           |           |          
 Иваново         | Екатеринбург    |           |          
 Иваново         | Сочи            |           |          
 Иркутск         | Архангельск     |           |          
 Иркутск         | Магадан         |           |          
 Иркутск         | Мирный          |           |          
 Иркутск         | Надым           |           |          
 Иркутск         | Сургут          |           |          
 Йошкар-Ола      | Краснодар       |           |          
 Йошкар-Ола      | Москва          |           |          
 Казань          | Махачкала       |           |          
 Казань          | Псков           |           |          
 Калуга          | Нижний Новгород |           |          
 Калуга          | Новосибирск     |           |          
 Калуга          | Петрозаводск    |           |          
 Кемерово        | Кызыл           |           |          
 Кемерово        | Удачный         |           |          
 Киров           | Ханты-Мансийск  |           |          
 Когалым         | Екатеринбург    |           |          
 Краснодар       | Горно-Алтайск   |           |          
 Краснодар       | Йошкар-Ола      |           |          
 Краснодар       | Нальчик         |           |          
 Красноярск      | Барнаул         |           |          
 Красноярск      | Новый Уренгой   |           |          
 Красноярск      | Усть-Илимск     |           |          
 Красноярск      | Усть-Кут        |           |          
 Курган          | Белоярский      |           |          
 Курган          | Орск            |           |          
 Курск           | Самара          |           |          
 Курск           | Сургут          |           |          
 Кызыл           | Абакан          |           |          
 Кызыл           | Екатеринбург    |           |          
 Кызыл           | Кемерово        |           |          
 Липецк          | Москва          |           |          
 Липецк          | Петрозаводск    |           |          
 Магадан         | Иркутск         |           |          
 Махачкала       | Казань          |           |          
 Москва          | Белоярский      |           |          
 Москва          | Йошкар-Ола      |           |          
 Москва          | Липецк          |           |          
 Москва          | Орск            |           |          
 Москва          | Псков           |           |          
 Надым           | Иркутск         |           |          
 Надым           | Новокузнецк     |           |          
 Надым           | Норильск        |           |          
 Нальчик         | Краснодар       |           |          
 Нарьян-Мар      | Тюмень          |           |          
 Нерюнгри        | Астрахань       |           |          
 Нерюнгри        | Пермь           |           |          
 Нерюнгри        | Санкт-Петербург |           |          
 Нижневартовск   | Ульяновск       |           |          
 Нижний Новгород | Калуга          |           |          
 Новокузнецк     | Анапа           |           |          
 Новокузнецк     | Надым           |           |          
 Новокузнецк     | Томск           |           |          
